Time,Throughput_kbps,,,
48.91281819,2304.75,,,26.91281819
49.01286584,2955.875,,,27.01286584
49.1129135,2293.5,,,27.1129135
49.21296115,1362.0625,,,27.21296115
49.3130088,2104.25,,,27.3130088
49.41305645,1547.75,,,27.41305645
49.5131041,2766.625,,,27.5131041
49.61315175,3302.4375,,,27.61315175
49.7131994,3220.5,,,27.7131994
49.81324705,2331.75,,,27.81324705
49.91329471,2388.125,,,27.91329471
50.01334236,2388.125,,,28.01334236
50.11339001,2388.125,,,28.11339001
50.21343766,2293.5,,,28.21343766
50.31348531,2293.5,,,28.31348531
50.41353296,2482.75,,,28.41353296
50.51358061,2114.0625,,,28.51358061
50.61362826,1934.125,,,28.61362826
50.71367592,2093,,,28.71367592
50.81372357,3156.375,,,28.81372357
50.91377122,2482.75,,,28.91377122
51.01381887,2301.375,,,29.01381887
51.11386652,2588.625,,,29.11386652
51.21391417,2282.25,,,29.21391417
51.31396182,1714.5,,,29.31396182
51.41400948,2115.5,,,29.41400948
51.51405713,1275.125,,,29.51405713
51.61410478,1135.5,,,29.61410478
51.71415243,2020.875,,,29.71415243
51.81420008,2102.8125,,,29.81420008
51.91424773,1737,,,29.91424773
52.01429538,1696.8125,,,30.01429538
52.11434303,2388.125,,,30.11434303
52.21439069,2384.75,,,30.21439069
52.31443834,2314.5625,,,30.31443834
52.41448599,2822.875,,,30.41448599
52.51453364,1977.6875,,,30.51453364
52.61458129,2206.75,,,30.61458129
52.71462894,2214.625,,,30.71462894
52.81467659,2887.6875,,,30.81467659
52.91472424,2596.5,,,30.91472424
53.0147719,2388.125,,,31.0147719
53.11481955,2766.625,,,31.11481955
53.2148672,1936.0625,,,31.2148672
53.31491485,1158.125,,,31.31491485
53.4149625,1324.75,,,31.4149625
53.51501015,1642.5625,,,31.51501015
53.6150578,1733.8125,,,31.6150578
53.71510545,2282.3125,,,31.71510545
53.81515311,2399.5625,,,31.81515311
53.91520076,2388.25,,,31.91520076
54.01524841,2482.875,,,32.01524841
54.11529606,2304.9375,,,32.11529606
54.21534371,2267.3125,,,32.21534371
54.31539136,2199,,,32.31539136
54.41543901,2304.9375,,,32.41543901
54.51548666,1835.125,,,32.51548666
54.61553432,2398.125,,,32.61553432
54.71558197,3365.0625,,,32.71558197
54.81562962,3001.875,,,32.81562962
54.91567727,2335.5,,,32.91567727
55.01572492,2199,,,33.01572492
55.11577257,2104.375,,,33.11577257
55.21582022,2482.875,,,33.21582022
55.31586787,3334.5,,,33.31586787
55.41591553,2588.8125,,,33.41591553
55.51596318,2104.375,,,33.51596318
55.61601083,968.875,,,33.61601083
55.71605848,1158.125,,,33.71605848
55.81610613,1347.375,,,33.81610613
55.91615378,4667.125,,,33.91615378
56.01620143,4575.875,,,34.01620143
56.11624909,4103.3125,,,34.11624909
56.21629674,2494.1875,,,34.21629674
56.31634439,2965.875,,,34.31634439
56.41639204,2577.5,,,34.41639204
56.51643969,2534.3125,,,34.51643969
56.61648734,2577.5,,,34.61648734
56.71653499,2944.6875,,,34.71653499
56.81658264,2482.875,,,34.81658264
56.9166303,2727.25,,,34.9166303
57.01667795,2619.375,,,35.01667795
57.1167256,2829.5625,,,35.1167256
57.21677325,2691.375,,,35.21677325
57.3168209,2956,,,35.3168209
57.41686855,2482.875,,,35.41686855
57.5169162,2399.5625,,,35.5169162
57.61696385,2577.5,,,35.61696385
57.71701151,2293.625,,,35.71701151
57.81705916,3451.75,,,35.81705916
57.91710681,3835.5625,,,35.91710681
58.01715446,4564.875,,,36.01715446
58.11720211,4207.8125,,,36.11720211
58.21724976,3481.625,,,36.21724976
58.31729741,3637.1875,,,36.31729741
58.41734506,2210.3125,,,36.41734506
58.51739272,3050.625,,,36.51739272
58.61744037,3334.5,,,36.61744037
58.71748802,3145.25,,,36.71748802
58.81753567,2672.125,,,36.81753567
58.91758332,2494.1875,,,36.91758332
59.01763097,2577.5,,,37.01763097
59.11767862,2399.5625,,,37.11767862
59.21772627,2438.75,,,37.21772627
59.31777393,2104.375,,,37.31777393
59.41782158,4394.5625,,,37.41782158
59.51786923,4576.1875,,,37.51786923
59.61791688,4670.8125,,,37.61791688
59.71796453,4564.8125,,,37.71796453
59.81801218,4470.5,,,37.81801218
59.91805983,3071.8125,,,37.91805983
60.01810748,4091.5,,,38.01810748
60.11815514,4580.5625,,,38.11815514
60.21820279,4670.8125,,,38.21820279
60.31825044,4565,,,38.31825044
60.41829809,3474.3125,,,38.41829809
60.51834574,2376.25,,,38.51834574
