Time,Buffer_Length,Bitrate_Downloading,Index_Downloading,Index_playing,Dropped_Frame,Latency,Download,Ratio
2024-04-10 22:55:38,29.667,3886,1,1,0,0.03 | 0.03 | 0.03,0.65 | 0.70 | 0.75,2.66 | 2.86 | 3.08
2024-04-10 22:55:38,30.573,3886,1,1,0,0.03 | 0.03 | 0.03,0.65 | 0.72 | 0.81,2.47 | 2.77 | 3.08
2024-04-10 22:55:39,30.573,3886,1,1,0,0.03 | 0.03 | 0.03,0.65 | 0.72 | 0.81,2.47 | 2.77 | 3.08
2024-04-10 22:55:39,29.818,3886,1,1,0,0.03 | 0.03 | 0.03,0.65 | 0.72 | 0.81,2.47 | 2.77 | 3.08
2024-04-10 22:55:40,29.818,3886,1,1,0,0.03 | 0.03 | 0.03,0.65 | 0.72 | 0.81,2.47 | 2.77 | 3.08
2024-04-10 22:55:40,28.751,3886,1,1,0,0.03 | 0.03 | 0.03,0.65 | 0.72 | 0.81,2.47 | 2.77 | 3.08
2024-04-10 22:55:41,28.751,3886,1,1,0,0.03 | 0.03 | 0.03,0.65 | 0.72 | 0.81,2.47 | 2.77 | 3.08
2024-04-10 22:55:41,29.685,3886,1,1,0,0.03 | 0.03 | 0.03,0.65 | 0.93 | 1.57,1.27 | 2.16 | 3.08
2024-04-10 22:55:42,29.685,3886,1,1,0,0.03 | 0.03 | 0.03,0.65 | 0.93 | 1.57,1.27 | 2.16 | 3.08
2024-04-10 22:55:42,28.63,3886,1,1,2,0.03 | 0.03 | 0.03,0.65 | 0.93 | 1.57,1.27 | 2.16 | 3.08
2024-04-10 22:55:43,28.63,3886,1,1,2,0.03 | 0.03 | 0.03,0.65 | 0.93 | 1.57,1.27 | 2.16 | 3.08
2024-04-10 22:55:43,29.567,3886,1,1,3,0.03 | 0.03 | 0.04,0.68 | 1.12 | 1.57,1.27 | 1.79 | 2.95
2024-04-10 22:55:44,29.567,3886,1,1,3,0.03 | 0.03 | 0.04,0.68 | 1.12 | 1.57,1.27 | 1.79 | 2.95
2024-04-10 22:55:44,28.771,3886,1,1,3,0.03 | 0.03 | 0.04,0.68 | 1.12 | 1.57,1.27 | 1.79 | 2.95
2024-04-10 22:55:45,28.771,3886,1,1,3,0.03 | 0.03 | 0.04,0.68 | 1.12 | 1.57,1.27 | 1.79 | 2.95
2024-04-10 22:55:45,29.704,3886,1,1,3,0.03 | 0.03 | 0.04,0.81 | 1.26 | 1.57,1.27 | 1.59 | 2.47
2024-04-10 22:55:46,29.704,3886,1,1,3,0.03 | 0.03 | 0.04,0.81 | 1.26 | 1.57,1.27 | 1.59 | 2.47
2024-04-10 22:55:46,30.621,3886,1,1,3,0.03 | 0.03 | 0.04,0.95 | 1.29 | 1.57,1.27 | 1.55 | 2.11
2024-04-10 22:55:47,30.621,3886,1,1,3,0.03 | 0.03 | 0.04,0.95 | 1.29 | 1.57,1.27 | 1.55 | 2.11
2024-04-10 22:55:47,29.584,3886,1,1,3,0.03 | 0.03 | 0.04,0.95 | 1.29 | 1.57,1.27 | 1.55 | 2.11
2024-04-10 22:55:48,29.584,3886,1,1,3,0.03 | 0.03 | 0.04,0.95 | 1.29 | 1.57,1.27 | 1.55 | 2.11
2024-04-10 22:55:48,30.758,3886,1,1,3,0.03 | 0.03 | 0.04,0.85 | 1.11 | 1.41,1.42 | 1.80 | 2.36
2024-04-10 22:55:49,30.758,3886,1,1,3,0.03 | 0.03 | 0.04,0.85 | 1.11 | 1.41,1.42 | 1.80 | 2.36
2024-04-10 22:55:49,29.722,3886,1,1,3,0.03 | 0.03 | 0.04,0.85 | 1.11 | 1.41,1.42 | 1.80 | 2.36
2024-04-10 22:55:50,29.722,3886,1,1,3,0.03 | 0.03 | 0.04,0.85 | 1.11 | 1.41,1.42 | 1.80 | 2.36
2024-04-10 22:55:50,30.552,3886,1,1,3,0.03 | 0.03 | 0.03,0.85 | 1.01 | 1.24,1.61 | 1.98 | 2.36
2024-04-10 22:55:51,30.552,3886,1,1,3,0.03 | 0.03 | 0.03,0.85 | 1.01 | 1.24,1.61 | 1.98 | 2.36
2024-04-10 22:55:51,29.598,3886,1,1,3,0.03 | 0.03 | 0.03,0.85 | 1.01 | 1.24,1.61 | 1.98 | 2.36
2024-04-10 22:55:52,29.598,3886,1,1,3,0.03 | 0.03 | 0.03,0.85 | 1.01 | 1.24,1.61 | 1.98 | 2.36
2024-04-10 22:55:52,30.589,3886,1,1,3,0.03 | 0.03 | 0.03,0.85 | 0.98 | 1.11,1.81 | 2.05 | 2.36
2024-04-10 22:55:53,30.589,3886,1,1,3,0.03 | 0.03 | 0.03,0.85 | 0.98 | 1.11,1.81 | 2.05 | 2.36
2024-04-10 22:55:53,29.668,3886,1,1,3,0.03 | 0.03 | 0.03,0.85 | 0.98 | 1.11,1.81 | 2.05 | 2.36
2024-04-10 22:55:54,29.668,3886,1,1,3,0.03 | 0.03 | 0.03,0.85 | 0.98 | 1.11,1.81 | 2.05 | 2.36
2024-04-10 22:55:54,28.681,3886,1,1,3,0.03 | 0.03 | 0.03,0.85 | 0.98 | 1.11,1.81 | 2.05 | 2.36
2024-04-10 22:55:55,28.681,3886,1,1,3,0.03 | 0.03 | 0.03,0.85 | 0.98 | 1.11,1.81 | 2.05 | 2.36
2024-04-10 22:55:55,29.613,3886,1,1,3,0.03 | 0.03 | 0.03,0.85 | 1.01 | 1.11,1.81 | 1.99 | 2.36
2024-04-10 22:55:56,29.613,3886,1,1,3,0.03 | 0.03 | 0.03,0.85 | 1.01 | 1.11,1.81 | 1.99 | 2.36
2024-04-10 22:55:56,28.814,3886,1,1,3,0.03 | 0.03 | 0.03,0.85 | 1.01 | 1.11,1.81 | 1.99 | 2.36
2024-04-10 22:55:57,28.814,3886,1,1,3,0.03 | 0.03 | 0.03,0.85 | 1.01 | 1.11,1.81 | 1.99 | 2.36
2024-04-10 22:55:57,29.741,3886,1,1,3,0.03 | 0.03 | 0.03,1.00 | 1.11 | 1.27,1.57 | 1.80 | 1.99
2024-04-10 22:55:58,29.741,3886,1,1,3,0.03 | 0.03 | 0.03,1.00 | 1.11 | 1.27,1.57 | 1.80 | 1.99
2024-04-10 22:55:58,28.689,3886,1,1,3,0.03 | 0.03 | 0.03,1.00 | 1.11 | 1.27,1.57 | 1.80 | 1.99
2024-04-10 22:55:59,28.689,3886,1,1,3,0.03 | 0.03 | 0.03,1.00 | 1.11 | 1.27,1.57 | 1.80 | 1.99
2024-04-10 22:55:59,27.63,3886,1,1,3,0.03 | 0.03 | 0.03,1.00 | 1.11 | 1.27,1.57 | 1.80 | 1.99
2024-04-10 22:56:00,27.63,3886,1,1,3,0.03 | 0.03 | 0.03,1.00 | 1.11 | 1.27,1.57 | 1.80 | 1.99
2024-04-10 22:56:00,28.574,3886,1,1,3,0.03 | 0.03 | 0.03,1.07 | 1.49 | 2.51,0.80 | 1.34 | 1.87
2024-04-10 22:56:01,28.574,3886,1,1,3,0.03 | 0.03 | 0.03,1.07 | 1.49 | 2.51,0.80 | 1.34 | 1.87
